date,code,open,high,low,close,prev_close,change,change_pct,volume,amount
20260401,600001.SH,10.17,10.32,9.92,10.12,10.02,0.10,1.00,1000000,12000000
20260402,600001.SH,10.29,10.44,10.04,10.24,10.12,0.12,1.19,1000000,12000000
20260403,600001.SH,10.41,10.57,10.15,10.36,10.24,0.12,1.17,1000000,12000000
20260404,600001.SH,10.53,10.69,10.27,10.48,10.36,0.12,1.16,1000000,12000000
20260405,600001.SH,10.65,10.81,10.39,10.60,10.48,0.12,1.15,1000000,12000000
20260406,600001.SH,10.77,10.93,10.51,10.72,10.60,0.12,1.13,1000000,12000000
20260407,600001.SH,10.89,11.06,10.62,10.84,10.72,0.12,1.12,1000000,12000000
20260408,600001.SH,11.01,11.18,10.74,10.96,10.84,0.12,1.11,1000000,12000000
20260409,600001.SH,11.13,11.30,10.86,11.08,10.96,0.12,1.09,1000000,12000000
20260410,600001.SH,11.25,11.42,10.98,11.20,11.08,0.12,1.08,1000000,12000000
20260411,600001.SH,11.37,11.55,11.09,11.32,11.20,0.12,1.07,1000000,12000000
20260412,600001.SH,11.49,11.67,11.21,11.44,11.32,0.12,1.06,1000000,12000000
20260413,600001.SH,11.61,11.79,11.33,11.56,11.44,0.12,1.05,1000000,12000000
20260414,600001.SH,11.73,11.91,11.45,11.68,11.56,0.12,1.04,1000000,12000000
20260415,600001.SH,11.85,12.04,11.56,11.80,11.68,0.12,1.03,1000000,12000000
20260416,600001.SH,11.97,12.16,11.68,11.92,11.80,0.12,1.02,1000000,12000000
20260417,600001.SH,12.09,12.28,11.80,12.04,11.92,0.12,1.01,1000000,12000000
20260418,600001.SH,12.21,12.40,11.92,12.16,12.04,0.12,1.00,1000000,12000000
20260419,600001.SH,12.33,12.53,12.03,12.28,12.16,0.12,0.99,1000000,12000000
20260420,600001.SH,12.45,12.65,12.15,12.40,12.28,0.12,0.98,1000000,12000000
20260421,600001.SH,12.57,12.77,12.27,12.52,12.40,0.12,0.97,1000000,12000000
20260422,600001.SH,12.69,12.89,12.39,12.64,12.52,0.12,0.96,1000000,12000000
20260423,600001.SH,12.81,13.02,12.50,12.76,12.64,0.12,0.95,1000000,12000000
20260424,600001.SH,12.93,13.14,12.62,12.88,12.76,0.12,0.94,1000000,12000000
20260425,600001.SH,13.05,13.26,12.74,13.00,12.88,0.12,0.93,1000000,12000000
20260426,600001.SH,13.17,13.38,12.86,13.12,13.00,0.12,0.92,1000000,12000000
20260427,600001.SH,13.29,13.50,12.98,13.24,13.12,0.12,0.91,1000000,12000000
20260428,600001.SH,13.41,13.63,13.09,13.36,13.24,0.12,0.91,1000000,12000000
20260429,600001.SH,13.53,13.75,13.21,13.48,13.36,0.12,0.90,1000000,12000000
20260430,600001.SH,13.65,13.87,13.33,13.60,13.48,0.12,0.89,1000000,12000000
20260501,600001.SH,13.77,13.99,13.45,13.72,13.60,0.12,0.88,1000000,12000000
20260502,600001.SH,13.89,14.12,13.56,13.84,13.72,0.12,0.87,1000000,12000000
20260503,600001.SH,14.01,14.24,13.68,13.96,13.84,0.12,0.87,1000000,12000000
20260504,600001.SH,14.13,14.36,13.80,14.08,13.96,0.12,0.86,1000000,12000000
20260505,600001.SH,14.25,14.48,13.92,14.20,14.08,0.12,0.85,1000000,12000000
20260506,600001.SH,14.37,14.61,14.03,14.32,14.20,0.12,0.85,1000000,12000000
20260507,600001.SH,14.49,14.73,14.15,14.44,14.32,0.12,0.84,1000000,12000000
20260508,600001.SH,14.61,14.85,14.27,14.56,14.44,0.12,0.83,1000000,12000000
20260509,600001.SH,14.73,14.97,14.39,14.68,14.56,0.12,0.82,1000000,12000000
20260510,600001.SH,14.85,15.10,14.50,14.80,14.68,0.12,0.82,1000000,12000000
20260511,600001.SH,14.97,15.22,14.62,14.92,14.80,0.12,0.81,1000000,12000000
20260512,600001.SH,15.09,15.34,14.74,15.04,14.92,0.12,0.80,1000000,12000000
20260513,600001.SH,15.21,15.46,14.86,15.16,15.04,0.12,0.80,1000000,12000000
20260514,600001.SH,15.33,15.59,14.97,15.28,15.16,0.12,0.79,1000000,12000000
20260515,600001.SH,15.45,15.71,15.09,15.40,15.28,0.12,0.79,1000000,12000000
20260516,600001.SH,15.57,15.83,15.21,15.52,15.40,0.12,0.78,1000000,12000000
20260517,600001.SH,15.69,15.95,15.33,15.64,15.52,0.12,0.77,1000000,12000000
20260518,600001.SH,15.81,16.08,15.44,15.76,15.64,0.12,0.77,1000000,12000000
